ordering,ppmRepPotus,ppmDemPotus,1M-ppmDemPotus,ppmRepOther,ppmDemOther,1M-ppmDemOther,BonusToTrump,BonusToBiden,totalBallots,locality
 764807, 469248, 512528, 487472, 520501, 457858, 542142, 243735, 773350,   1756,VGreendaleWards78
 765747, 387139, 594488, 405512, 418635, 519685, 480315, 342520, 874015,    762,CityofMilwaukeeWard209
 765757, 481655, 511288, 488712, 524929, 448259, 551741, 283630, 815145,   2126,VGreendaleWards910
 769430, 507945, 477318, 522682, 551863, 413464, 586536, 280410, 819270,   3461,COakCreekWards789
 770110, 249699, 737094, 262906, 292917, 672268, 327732, 283910, 824130,    833,VWhitefishBayWard7
 772917, 529166, 460000, 540000, 575833, 397500, 602500, 266665, 812500,   1200,CityofFranklinWard13
 774485, 517155, 468496, 531504, 568933, 410480, 589520, 241110, 790080,   1603,VHalesCornersWards456
 774507, 598431, 386666, 613334, 649411, 327843, 672157, 245100, 794115,   1275,CityofFranklinWard23
 776532, 450423, 528649, 471351, 500747, 468360, 531640, 248380, 801445,   2007,VGreendaleWards34
 777272, 256363, 725454, 274546, 289090, 647272, 352728, 336365, 890910,    550,CityofMilwaukeeWard191
 779985, 424940, 567911, 432089, 479745, 510722, 489278, 225975, 785945,   1259,VRiverHillsWards123
 783425, 556684, 435496, 564504, 602032, 367474, 632526, 273260, 840110,   1279,CityofFranklinWard19
 787057, 540709, 452331, 547669, 588030, 384829, 615171, 263395, 837510,   1437,CityofFranklinWard7
 790955, 390659, 590066, 409934, 455151, 538176, 461824, 177540, 759450,   1349,CityofWauwatosaWard17
 796015, 474186, 511784, 488216, 528058, 447250, 552750, 230640, 822670,   1782,VGreendaleWards56
 802047, 273907, 706414, 293586, 320346, 632034, 367966, 267805, 871900,   2541,CityofMilwaukeeWard186
 806987, 573481, 412148, 587852, 630960, 346832, 653168, 212605, 826580,   1531,CityofFranklinWard2
 807365, 518980, 466855, 533145, 577337, 402266, 597734, 208215, 822945,   1765,VGreendaleWards12
 812752, 558514, 426150, 573850, 619854, 362389, 637611, 193300, 818805,   1239,CityofFranklinWard16
 814535, 261930, 728850, 271150, 308026, 649132, 350868, 269520, 898590,   1844,VWhitefishBayWards810
 818697, 271954, 719546, 280454, 322946, 643059, 356941, 245040, 882435,    706,VillageofBaysideWard5
 827080, 532479, 452881, 547119, 586459, 376029, 623971, 230100, 884260,   1093,CityofFranklinWard6
 836360, 515018, 469962, 530038, 574468, 394868, 605132, 202750, 875470,   1598,CityofFranklinWard3
 853340, 511132, 478218, 521782, 572120, 397870, 602130, 195060, 901740,   1033,CityofFranklinWard14
 879642, 289787, 697612, 302388, 352785, 608753, 391247, 185010, 944295,   1508,VWhitefishBayWards34
 901680, 300359, 688249, 311751, 366906, 594124, 405876, 167265, 970625,   1668,VWhitefishBayWards56
 907767, 291231, 696501, 303499, 358473, 600636, 399364, 163790, 979325,   2201,VFoxPointWards1234
 908727, 310932, 669007, 330993, 383149, 577733, 422267, 138915, 956370,    997,VWhitefishBayWard12
 966232, 340768, 646840, 353160, 425650, 545229, 454771,  75590,1008055,   1614,VWhitefishBayWards12
 993270, 441704, 542600, 457400, 526905, 430493, 569507,  73995,1060535,    446,CityofFranklinWard10
-129250, 244897, 727891, 272109,  81632, 816326, 183674,1316325,  57825,    147,CityofMilwaukeeWard171
